Publisher,Author,Grade Level,Lesson No.,Section Title,Subsection,Label,Conversation ID,Speech type,Turn No.,Speaker,Script,Word Count,Position_A,Function_A,Position_B,Function_B,Consistency,Agreement,corpus
YBM,Park,Common English 1,1,Check What You Learned,Comprehension,K1,JP_C1_L1_CL_CP_01,Dialogue,5,M," Oh, you mean you can reflect on your emotions.",,,,,,,,textbook
YBM,Park,Common English 1,1,Check What You Learned,Comprehension,K1,JP_C1_L1_CL_CP_01,Dialogue,6,W," That's right. And then more challenging questions arise. ""What could make me happier right now?"" ""Who is the ideal me?"" ""What is my ideal future? Can I reach it? How?"" By answering these questions, I came to know what kind of person I am and what I truly enjoy doing.",,,,,,,,textbook
YBM,Park,Common English 1,1,Check What You Learned,Comprehension,K1,JP_C1_L1_CL_CP_01,Dialogue,7,M," It sounds inspiring. I think I should try it out, too.",,,,,,,,textbook
YBM,Park,Common English 1,2,Build Comprehension,Listen and Understand,K1,JP_C1_L2_BC_LU_01,Dialogue,1,B," Hey Jenny, take a look at this online lecture poster. Would you be interested in it?",,,,,,,,textbook
YBM,Park,Common English 1,2,Build Comprehension,Listen and Understand,K1,JP_C1_L2_BC_LU_01,Dialogue,2,G," Oh, what's the lecture about?",,,,,,,,textbook
YBM,Park,Common English 1,2,Build Comprehension,Listen and Understand,K1,JP_C1_L2_BC_LU_01,Dialogue,3,B, It's about animal sounds. It will be held next Friday at 2 p.m.,,,,,,,,textbook
YBM,Park,Common English 1,2,Build Comprehension,Listen and Understand,K1,JP_C1_L2_BC_LU_01,Dialogue,4,G, That sounds interesting! I'm curious about how animals produce sounds and use them for communication. Will the lecture cover those topics?,,,,,,,,textbook
YBM,Park,Common English 1,2,Build Comprehension,Listen and Understand,K1,JP_C1_L2_BC_LU_01,Dialogue,5,B," Yes, it will cover both of them. We'd better hurry because the registration closes January 31.",,,,,,,,textbook
YBM,Park,Common English 1,2,Build Comprehension,Listen and Understand,K1,JP_C1_L2_BC_LU_01,Dialogue,6,G, OK. Do I have to pay for the registration?,,,,,,,,textbook
YBM,Park,Common English 1,2,Build Comprehension,Listen and Understand,K1,JP_C1_L2_BC_LU_01,Dialogue,7,B, No. Anyone who is interested can attend it for free.,,,,,,,,textbook
YBM,Park,Common English 1,2,Build Comprehension,Listen and Understand,K1,JP_C1_L2_BC_LU_01,Dialogue,8,G, That's wonderful! Let's sign up right away.,,,,,,,,textbook
YBM,Park,Common English 1,2,Build Comprehension,Understand Deeply and Think Critically ,K1,JP_C1_L2_BC_UT_01,Dialogue,1,B," Kate, I'm wondering if you can help me prepare for my class presentation.",,,,,,,,textbook
YBM,Park,Common English 1,2,Build Comprehension,Understand Deeply and Think Critically ,K1,JP_C1_L2_BC_UT_01,Dialogue,2,G," Sure, Jack. What's it about?",,,,,,,,textbook
YBM,Park,Common English 1,2,Build Comprehension,Understand Deeply and Think Critically ,K1,JP_C1_L2_BC_UT_01,Dialogue,3,B, It's a presentation about the social life of elephants.,,,,,,,,textbook
YBM,Park,Common English 1,2,Build Comprehension,Understand Deeply and Think Critically ,K1,JP_C1_L2_BC_UT_01,Dialogue,4,G, Really? I'm surprised that you are interested in that topic.,,,,,,,,textbook
YBM,Park,Common English 1,2,Build Comprehension,Understand Deeply and Think Critically ,K1,JP_C1_L2_BC_UT_01,Dialogue,5,B, I chose this topic after watching a documentary series about the way elephants communicate. It made me curious to learn more about them.,,,,,,,,textbook
YBM,Park,Common English 1,2,Build Comprehension,Understand Deeply and Think Critically ,K1,JP_C1_L2_BC_UT_01,Dialogue,6,G," OK. Let's look at the table of contents for your presentation. When you talk about elephants' communication, it would be nice to show some examples using videos.",,,,,,,,textbook
YBM,Park,Common English 1,2,Build Comprehension,Understand Deeply and Think Critically ,K1,JP_C1_L2_BC_UT_01,Dialogue,7,B, Good suggestion! Let me write that down. Is there anything else I should add?,,,,,,,,textbook
YBM,Park,Common English 1,2,Build Comprehension,Understand Deeply and Think Critically ,K1,JP_C1_L2_BC_UT_01,Dialogue,8,G, How about mentioning that elephants express their emotions to each other?,,,,,,,,textbook
YBM,Park,Common English 1,2,Build Comprehension,Understand Deeply and Think Critically ,K1,JP_C1_L2_BC_UT_01,Dialogue,9,B, Good idea. I'll add some pictures of them showing their emotions. Thanks for your suggestions.,,,,,,,,textbook
YBM,Park,Common English 1,2,Build Comprehension,Understand Deeply and Think Critically ,K1,JP_C1_L2_BC_UT_01,Dialogue,10,G, My pleasure. Good luck with your presentation.,,,,,,,,textbook
YBM,Park,Common English 1,2,Check What You Learned,Comprehension,K1,JP_C1_L2_CL_CP_01,Dialogue,1,G," Hey, what are you working on?",,,,,,,,textbook
YBM,Park,Common English 1,2,Check What You Learned,Comprehension,K1,JP_C1_L2_CL_CP_01,Dialogue,2,B, I'm writing some questions for the quiz event our science club is organizing.,,,,,,,,textbook
YBM,Park,Common English 1,2,Check What You Learned,Comprehension,K1,JP_C1_L2_CL_CP_01,Dialogue,3,G," Oh, that sounds like fun. What's the quiz about?",,,,,,,,textbook
YBM,Park,Common English 1,2,Check What You Learned,Comprehension,K1,JP_C1_L2_CL_CP_01,Dialogue,4,B, Interesting facts about animals. I wonder if you have any fascinating information to share.,,,,,,,,textbook
YBM,Park,Common English 1,2,Check What You Learned,Comprehension,K1,JP_C1_L2_CL_CP_01,Dialogue,5,G," Hmm... Well, did you know that elephants have an incredible memory? They can remember important places, like good locations for food, even after several years.",,,,,,,,textbook
YBM,Park,Common English 1,2,Check What You Learned,Comprehension,K1,JP_C1_L2_CL_CP_01,Dialogue,6,B," Wow, I'm surprised that they can do that. I'll definitely include that in our quiz. Do you have anything else?",,,,,,,,textbook
YBM,Park,Common English 1,2,Check What You Learned,Comprehension,K1,JP_C1_L2_CL_CP_01,Dialogue,7,G, I recently also found out that octopuses can change both their color and texture to blend in with their surroundings.,,,,,,,,textbook
YBM,Park,Common English 1,2,Check What You Learned,Comprehension,K1,JP_C1_L2_CL_CP_01,Dialogue,8,B, That's amazing! I'll add that to our quiz as well. Thanks a lot for your help.,,,,,,,,textbook
YBM,Park,Common English 1,3,Build Comprehension,Understand Deeply and Think Critically ,K1,JP_C1_L3_BC_UT_01,Dialogue,1,B," Hey, Clara. Look at this flyer. The community center offers foreign language classes. Why don't we take one of these classes together?",,,,,,,,textbook
YBM,Park,Common English 1,3,Build Comprehension,Understand Deeply and Think Critically ,K1,JP_C1_L3_BC_UT_01,Dialogue,2,G," Great idea, Sam. I'm very interested in studying foreign languages because I want to learn about new cultures.",,,,,,,,textbook
YBM,Park,Common English 1,3,Build Comprehension,Understand Deeply and Think Critically ,K1,JP_C1_L3_BC_UT_01,Dialogue,3,B, So am I. I think French and Japanese may be difficult because they are advanced courses.,,,,,,,,textbook
YBM,Park,Common English 1,3,Build Comprehension,Understand Deeply and Think Critically ,K1,JP_C1_L3_BC_UT_01,Dialogue,4,G, I agree. What do you think about taking an online course?,,,,,,,,textbook
YBM,Park,Common English 1,3,Build Comprehension,Understand Deeply and Think Critically ,K1,JP_C1_L3_BC_UT_01,Dialogue,5,B," Well, I think an offline course is better than an online course because it will be more engaging.",,,,,,,,textbook
YBM,Park,Common English 1,3,Build Comprehension,Understand Deeply and Think Critically ,K1,JP_C1_L3_BC_UT_01,Dialogue,6,G," I think so, too. Then how about taking the beginner Spanish course together?",,,,,,,,textbook
YBM,Park,Common English 1,3,Build Comprehension,Understand Deeply and Think Critically ,K1,JP_C1_L3_BC_UT_01,Dialogue,7,B, That sounds great! We can take classes in the morning on Mondays.,,,,,,,,textbook
YBM,Park,Common English 1,3,Build Comprehension,Understand Deeply and Think Critically ,K1,JP_C1_L3_BC_UT_01,Dialogue,8,G, You're right. Let's sign up for that class. ,,,,,,,,textbook
YBM,Park,Common English 1,3,Check What You Learned,Comprehension,K1,JP_C1_L3_CL_CP_01,Dialogue,1,G," Jason, have you decided on a topic for your linguistics class presentation?",,,,,,,,textbook
YBM,Park,Common English 1,3,Check What You Learned,Comprehension,K1,JP_C1_L3_CL_CP_01,Dialogue,2,B, Yes. I'll present about changes in English vocabulary.,,,,,,,,textbook
YBM,Park,Common English 1,3,Check What You Learned,Comprehension,K1,JP_C1_L3_CL_CP_01,Dialogue,3,G, Interesting. Can you tell me more?,,,,,,,,textbook
YBM,Park,Common English 1,3,Check What You Learned,Comprehension,K1,JP_C1_L3_CL_CP_01,Dialogue,4,B," Hmm. For example, have you ever heard of the word ""prepone?""",,,,,,,,textbook
YBM,Park,Common English 1,3,Check What You Learned,Comprehension,K1,JP_C1_L3_CL_CP_01,Dialogue,5,G, Prepone? I haven't come across that before. What does it mean?,,,,,,,,textbook
YBM,Park,Common English 1,3,Check What You Learned,Comprehension,K1,JP_C1_L3_CL_CP_01,Dialogue,6,B," It means the opposite of ""postpone."" It's used in Indian English. ",,,,,,,,textbook
YBM,Park,Common English 1,3,Check What You Learned,Comprehension,K1,JP_C1_L3_CL_CP_01,Dialogue,7,G," Oh, then does it mean to reschedule something for an earlier time or date?",,,,,,,,textbook
YBM,Park,Common English 1,3,Check What You Learned,Comprehension,K1,JP_C1_L3_CL_CP_01,Dialogue,8,B, That's right. What do you think of this word?,,,,,,,,textbook
YBM,Park,Common English 1,3,Check What You Learned,Comprehension,K1,JP_C1_L3_CL_CP_01,Dialogue,9,G," Well, I think it's a creative way to use English vocabulary.",,,,,,,,textbook
YBM,Park,Common English 1,3,Check What You Learned,Comprehension,K1,JP_C1_L3_CL_CP_01,Dialogue,10,B," I think so, too. Actually, I'm interested in studying these kinds of English words. I think they show how English has been influenced by various communities.",,,,,,,,textbook
YBM,Park,Common English 1,3,Check What You Learned,Comprehension,K1,JP_C1_L3_CL_CP_01,Dialogue,11,G, I agree. I really like your topic. Good luck with the presentation!,,,,,,,,textbook
YBM,Park,Common English 1,4,Build Comprehension,Listen and Understand,K1,JP_C1_L4_BC_LU_01,Dialogue,1,G," Hey, Mike. What are you doing?",,,,,,,,textbook
YBM,Park,Common English 1,4,Build Comprehension,Listen and Understand,K1,JP_C1_L4_BC_LU_01,Dialogue,2,B, I'm listening to AI-generated music.,,,,,,,,textbook
YBM,Park,Common English 1,4,Build Comprehension,Listen and Understand,K1,JP_C1_L4_BC_LU_01,Dialogue,3,G, What do you mean by AI-generated music?,,,,,,,,textbook
YBM,Park,Common English 1,4,Build Comprehension,Listen and Understand,K1,JP_C1_L4_BC_LU_01,Dialogue,4,B, It's music created by artificial intelligence instead of humans.,,,,,,,,textbook
YBM,Park,Common English 1,4,Build Comprehension,Listen and Understand,K1,JP_C1_L4_BC_LU_01,Dialogue,5,G, Can you explain more?,,,,,,,,textbook
YBM,Park,Common English 1,4,Build Comprehension,Listen and Understand,K1,JP_C1_L4_BC_LU_01,Dialogue,6,B," Basically, the AI learns various music styles and arrangement techniques. The AI is programmed to create new music based on what it learned.",,,,,,,,textbook
YBM,Park,Common English 1,4,Build Comprehension,Listen and Understand,K1,JP_C1_L4_BC_LU_01,Dialogue,7,G, That sounds interesting.,,,,,,,,textbook
YBM,Park,Common English 1,4,Build Comprehension,Listen and Understand,K1,JP_C1_L4_BC_LU_01,Dialogue,8,B, It's actually surprisingly good. Lots of AI-generated songs have been released online.,,,,,,,,textbook
YBM,Park,Common English 1,4,Build Comprehension,Listen and Understand,K1,JP_C1_L4_BC_LU_01,Dialogue,9,G, Oh! Can you share the link?,,,,,,,,textbook
YBM,Park,Common English 1,4,Build Comprehension,Listen and Understand,K1,JP_C1_L4_BC_LU_01,Dialogue,10,B, Sure. I'll send it to you in a text message.,,,,,,,,textbook
YBM,Park,Common English 1,4,Build Comprehension,Listen and Understand,K1,JP_C1_L4_BC_LU_01,Dialogue,11,G, Thanks. I'm looking forward to listening to it.,,,,,,,,textbook
YBM,Park,Common English 1,4,Build Comprehension,Listen and Understand,K1,JP_C1_L4_BC_LU_01,Dialogue,12,B," When you listen to it, you won't be able to tell it's created by a computer.",,,,,,,,textbook
YBM,Park,Common English 1,4,Check What You Learned,Comprehension,K1,JP_C1_L4_CL_CP_01,Dialogue,1,G," David, I heard your programming club went to an art gallery to see an exhibition called Art in Technology. How was it?",,,,,,,,textbook
YBM,Park,Common English 1,4,Check What You Learned,Comprehension,K1,JP_C1_L4_CL_CP_01,Dialogue,2,B," It was nice, Kate. We loved seeing and experiencing how technology and programming can create innovative artworks.",,,,,,,,textbook
YBM,Park,Common English 1,4,Check What You Learned,Comprehension,K1,JP_C1_L4_CL_CP_01,Dialogue,3,G, That's wonderful. I'm sure you were really inspired.,,,,,,,,textbook
YBM,Park,Common English 1,4,Check What You Learned,Comprehension,K1,JP_C1_L4_CL_CP_01,Dialogue,4,B," Yeah, I believe that technology and AI-generated artworks will replace the value of human creativity in the future.",,,,,,,,textbook
YBM,Park,Common English 1,4,Check What You Learned,Comprehension,K1,JP_C1_L4_CL_CP_01,Dialogue,5,G," Hmm... I don't think so. Technology is just a tool, and humans are the ones who control it.",,,,,,,,textbook
YBM,Park,Common English 1,4,Check What You Learned,Comprehension,K1,JP_C1_L4_CL_CP_01,Dialogue,6,B," Actually, we're going to discuss how to balance using AI and expressing human creativity at our club meeting this afternoon. Why don't you join us and share your opinion?",,,,,,,,textbook
YBM,Park,Common English 1,4,Check What You Learned,Comprehension,K1,JP_C1_L4_CL_CP_01,Dialogue,7,G, Sure. I'm looking forward to listening to ideas from different perspectives!,,,,,,,,textbook
YBM,Park,Common English 2,1,Build Comprehension,Listen and Understand,K2,JP_C2_L1_BC_LU_01,Dialogue,1,W," Wilson, these days I'm worried that you're using your phone too much.",,,,,,,,textbook
YBM,Park,Common English 2,1,Build Comprehension,Listen and Understand,K2,JP_C2_L1_BC_LU_01,Dialogue,2,B,"I know, Mom, but I use it only for what I need to do.",,UI,I1,UI,I1,match,I1,textbook
YBM,Park,Common English 2,1,Build Comprehension,Listen and Understand,K2,JP_C2_L1_BC_LU_01,Dialogue,3,W," You mean, watching videos and playing games?",,,,,,,,textbook
YBM,Park,Common English 2,1,Build Comprehension,Listen and Understand,K2,JP_C2_L1_BC_LU_01,Dialogue,4,B," That's just a small part. With my phone, I get a lot of useful information and communicate with my friends.",,,,,,,,textbook
YBM,Park,Common English 2,1,Build Comprehension,Listen and Understand,K2,JP_C2_L1_BC_LU_01,Dialogue,5,W, The problem is that you stay on your phone too long and don't get enough sleep.,,,,,,,,textbook
YBM,Park,Common English 2,1,Build Comprehension,Listen and Understand,K2,JP_C2_L1_BC_LU_01,Dialogue,6,B, You're right. Then could I ask you to help me control how much time I spend on my phone?,,,,,,,,textbook
YBM,Park,Common English 2,1,Build Comprehension,Listen and Understand,K2,JP_C2_L1_BC_LU_01,Dialogue,7,W, Sure. Why don't you set your screen time limit?,,,,,,,,textbook
YBM,Park,Common English 2,1,Build Comprehension,Listen and Understand,K2,JP_C2_L1_BC_LU_01,Dialogue,8,B," I think that's a good idea. I'll use an app for that. Thank you for your help, Mom.",,,,,,,,textbook
YBM,Park,Common English 2,1,Build Comprehension,Listen and Understand,K2,JP_C2_L1_BC_LU_01,Dialogue,9,W, You're welcome. I hope it helps you control the time you spend on your phone.,,,,,,,,textbook
YBM,Park,Common English 2,2,Build Comprehension,Listen and Understand,K2,JP_C2_L2_BC_LU_01,Dialogue,1,W, I have a construction worker with me for an interview. Good afternoon! Could you share how the heat wave is affecting your life?,,,,,,,,textbook
YBM,Park,Common English 2,2,Build Comprehension,Listen and Understand,K2,JP_C2_L2_BC_LU_01,Dialogue,2,M, It's unbearable. I always feel thirsty and can't sleep soundly.,,,,,,,,textbook
YBM,Park,Common English 2,2,Build Comprehension,Listen and Understand,K2,JP_C2_L2_BC_LU_01,Dialogue,3,W, That's very dangerous. How does it impact your work?,,,,,,,,textbook
YBM,Park,Common English 2,2,Build Comprehension,Listen and Understand,K2,JP_C2_L2_BC_LU_01,Dialogue,4,M," I have to adjust my schedule so that I can work during cooler hours. I carry ice water and a portable fan at work. Nevertheless, construction has almost stopped due to the severe heat.",,,,,,,,textbook
YBM,Park,Common English 2,2,Build Comprehension,Listen and Understand,K2,JP_C2_L2_BC_LU_01,Dialogue,5,W, I think it will be very helpful if the company provides a cool shelter during breaks.,,,,,,,,textbook
YBM,Park,Common English 2,2,Build Comprehension,Listen and Understand,K2,JP_C2_L2_BC_LU_01,Dialogue,6,M, Definitely. We also need healthcare support while working.,,,,,,,,textbook
YBM,Park,Common English 2,2,Build Comprehension,Listen and Understand,K2,JP_C2_L2_BC_LU_01,Dialogue,7,W," I'd like to emphasize that health and safety should always be a top priority during this time. Stay safe, everybody!",,,,,,,,textbook
YBM,Park,Common English 2,2,Check What You Learned,Comprehension,K2,JP_C2_L2_CL_CP_01,Dialogue,1,G, Have you heard that the drought is getting serious in California?,,,,,,,,textbook
YBM,Park,Common English 2,2,Check What You Learned,Comprehension,K2,JP_C2_L2_CL_CP_01,Dialogue,2,B," Yes, I read in the news that the state government ordered the water pipelines to be turned off for days.",,,,,,,,textbook
YBM,Park,Common English 2,2,Check What You Learned,Comprehension,K2,JP_C2_L2_CL_CP_01,Dialogue,3,G, Right! And so the residents there don't have any water to drink or wash with.,,,,,,,,textbook
YBM,Park,Common English 2,2,Check What You Learned,Comprehension,K2,JP_C2_L2_CL_CP_01,Dialogue,4,B, Sounds awful. There's a lot of news about that online.,,,,,,,,textbook
YBM,Park,Common English 2,2,Check What You Learned,Comprehension,K2,JP_C2_L2_CL_CP_01,Dialogue,5,G, Right. This headline says it's due to the severe drought. Less than half of the usual rainfall has fallen there this year.,,,,,,,,textbook
YBM,Park,Common English 2,2,Check What You Learned,Comprehension,K2,JP_C2_L2_CL_CP_01,Dialogue,6,B," Wow, look at this photo. It shows empty store shelves where water bottles used to be.",,,,,,,,textbook
YBM,Park,Common English 2,2,Check What You Learned,Comprehension,K2,JP_C2_L2_CL_CP_01,Dialogue,7,G, Here is a picture showing the roads full of cars as people leave the state to find water.,,,,,,,,textbook
YBM,Park,Common English 2,2,Check What You Learned,Comprehension,K2,JP_C2_L2_CL_CP_01,Dialogue,8,B, This is not just a story for Californians. Even Korea is in danger of having water shortages in the near future. I'd like to emphasize that it's a warning for us all.,,,,,,,,textbook
YBM,Park,Common English 2,3,Build Comprehension,Listen and Understand,K2,JP_C2_L3_BC_LU_01,Dialogue,1,B," Clara, you look a bit stressed. What are you concerned about?",,,,,,,,textbook
YBM,Park,Common English 2,3,Build Comprehension,Listen and Understand,K2,JP_C2_L3_BC_LU_01,Dialogue,2,G," David, it's the exams next week and I have a packed schedule. ",,,,,,,,textbook
YBM,Park,Common English 2,3,Build Comprehension,Listen and Understand,K2,JP_C2_L3_BC_LU_01,Dialogue,3,B," I understand. You know, managing stress is crucial in situations like yours. It's important to find ways to handle mental pressure and maintain balance.",,,,,,,,textbook
YBM,Park,Common English 2,3,Build Comprehension,Listen and Understand,K2,JP_C2_L3_BC_LU_01,Dialogue,4,G," I know, but I'm not sure where to start.",,UI,T4,UI,T4,match,T4,textbook
YBM,Park,Common English 2,3,Build Comprehension,Listen and Understand,K2,JP_C2_L3_BC_LU_01,Dialogue,5,B," Well, how about creating a study plan? It can help reduce stress by providing a sense of control and direction.",,,,,,,,textbook
YBM,Park,Common English 2,3,Build Comprehension,Listen and Understand,K2,JP_C2_L3_BC_LU_01,Dialogue,6,G," Oh, I see your point.",,,,,,,,textbook
YBM,Park,Common English 2,3,Build Comprehension,Listen and Understand,K2,JP_C2_L3_BC_LU_01,Dialogue,7,B," Getting regular exercise can also help. It can help you sleep well and enhance your overall mental health. If you manage your stress well, you can stay physically and mentally healthy. ",,,,,,,,textbook
YBM,Park,Common English 2,3,Build Comprehension,Listen and Understand,K2,JP_C2_L3_BC_LU_01,Dialogue,8,G, You're right. I'll give it a try.,,,,,,,,textbook
YBM,Park,Common English 2,3,Build Comprehension,Listen and Understand,K2,JP_C2_L3_BC_LU_01,Dialogue,9,B, You can do it! Don't worry too much.,,,,,,,,textbook
YBM,Park,Common English 2,3,Build Comprehension,Listen and Understand,K2,JP_C2_L3_BC_LU_01,Dialogue,10,G, Thanks for your advice!,,,,,,,,textbook
YBM,Park,Common English 2,3,Expand Comprehension,Before Reading,K2,JP_C2_L3_EC_BR_01,Dialogue,1,M," Good morning everyone! You're going to learn a new word, ""resilience."" I want someone to do everything they can to hit this toy flat on the table. Who is the strongest in the class?",,,,,,,,textbook
YBM,Park,Common English 2,3,Expand Comprehension,Before Reading,K2,JP_C2_L3_EC_BR_01,Dialogue,2,G, It's Jack! ,,,,,,,,textbook
YBM,Park,Common English 2,3,Expand Comprehension,Before Reading,K2,JP_C2_L3_EC_BR_01,Dialogue,3,M," Jack, come on up, please. Everyone, Jack's going to try to hit it flat on the table. As all of you could see, even Jack, the strongest one in this class, wasn't able to knock it flat on the table. This toy can show us what resilience means. Now, who can tell me what it means to have resilience? ",,,,,,,,textbook
YBM,Park,Common English 2,3,Expand Comprehension,Before Reading,K2,JP_C2_L3_EC_BR_01,Dialogue,4,G," I think it means when you get knocked down, you should stand up again very fast. ",,,,,,,,textbook
YBM,Park,Common English 2,3,Check What You Learned,Comprehension,K2,JP_C2_L3_CL_CP_01,Dialogue,1,W," Steve, I have noticed you've been feeling stressed these days.",,,,,,,,textbook
YBM,Park,Common English 2,3,Check What You Learned,Comprehension,K2,JP_C2_L3_CL_CP_01,Dialogue,2,B," Yeah, Mom. I'm concerned about my tests next week.",,,,,,,,textbook
YBM,Park,Common English 2,3,Check What You Learned,Comprehension,K2,JP_C2_L3_CL_CP_01,Dialogue,3,W," You know, building resilience can help you deal with tough situations.",,,,,,,,textbook
YBM,Park,Common English 2,3,Check What You Learned,Comprehension,K2,JP_C2_L3_CL_CP_01,Dialogue,4,B, How can I actually build resilience? ,,,,,,,,textbook
YBM,Park,Common English 2,3,Check What You Learned,Comprehension,K2,JP_C2_L3_CL_CP_01,Dialogue,5,W," Well, one thing you can do is break down your study plan into smaller parts. ",,,,,,,,textbook
YBM,Park,Common English 2,3,Check What You Learned,Comprehension,K2,JP_C2_L3_CL_CP_01,Dialogue,6,B, I guess that makes sense. I'll give it a try! But what about dealing with daily stresses? ,,UI,T4,UI,T4,match,T4,textbook
YBM,Park,Common English 2,3,Check What You Learned,Comprehension,K2,JP_C2_L3_CL_CP_01,Dialogue,7,W," You can practice positive self-talk and discover healthy ways to relax, such as going for a walk or talking with a friend. ",,,,,,,,textbook
YBM,Park,Common English 2,3,Check What You Learned,Comprehension,K2,JP_C2_L3_CL_CP_01,Dialogue,8,B, Thanks. I hope these practices will strengthen me to be able to handle bigger challenges easily.,,,,,,,,textbook
YBM,Park,Common English 2,4,Build Comprehension,Listen and Understand,K2,JP_C2_L4_BC_LU_01,Dialogue,1,G, Look at the contest's winning invention. A male high school student invented it.,,,,,,,,textbook
YBM,Park,Common English 2,4,Build Comprehension,Listen and Understand,K2,JP_C2_L4_BC_LU_01,Dialogue,2,B, What is it?,,,,,,,,textbook
YBM,Park,Common English 2,4,Build Comprehension,Listen and Understand,K2,JP_C2_L4_BC_LU_01,Dialogue,3,G, It's a name tag that changes depending on its location. It shows the student's name at school but hides it outside of school.,,UM,T2,UM,T2,match,T2,textbook
YBM,Park,Common English 2,4,Build Comprehension,Listen and Understand,K2,JP_C2_L4_BC_LU_01,Dialogue,4,B, How does it work?,,,,,,,,textbook
YBM,Park,Common English 2,4,Build Comprehension,Listen and Understand,K2,JP_C2_L4_BC_LU_01,Dialogue,5,G, There's a signaling device that detects the location of the name tag and changes the name based on its location.,,,,,,,,textbook
YBM,Park,Common English 2,4,Build Comprehension,Listen and Understand,K2,JP_C2_L4_BC_LU_01,Dialogue,6,B, It's amazing how he came up with such an idea.,,,,,,,,textbook
YBM,Park,Common English 2,4,Build Comprehension,Listen and Understand,K2,JP_C2_L4_BC_LU_01,Dialogue,7,G, He was embarrassed when a stranger called his name after reading his name tag. He realized that such personal information could be used by criminals.,,,,,,,,textbook
YBM,Park,Common English 2,4,Build Comprehension,Listen and Understand,K2,JP_C2_L4_BC_LU_01,Dialogue,8,B, It's likely that small inventions can make our lives safer.,,,,,,,,textbook
YBM,Park,Common English 2,4,Check What You Learned,Comprehension,K2,JP_C2_L4_CL_CP_01,Dialogue,1,B, What's this?,,,,,,,,textbook
YBM,Park,Common English 2,4,Check What You Learned,Comprehension,K2,JP_C2_L4_CL_CP_01,Dialogue,2,G," It's a LifeStraw, a portable water filter that provides safe drinking water.",,,,,,,,textbook
YBM,Park,Common English 2,4,Check What You Learned,Comprehension,K2,JP_C2_L4_CL_CP_01,Dialogue,3,B, How did you learn about it?,,,,,,,,textbook
YBM,Park,Common English 2,4,Check What You Learned,Comprehension,K2,JP_C2_L4_CL_CP_01,Dialogue,4,G," After learning about the Foldscope, I searched for other small but creative items that help people in need.",,UM,T1,UM,T1,match,T1,textbook
YBM,Park,Common English 2,4,Check What You Learned,Comprehension,K2,JP_C2_L4_CL_CP_01,Dialogue,5,B, It's likely that people in areas with limited access to clean water have benefited from the LifeStraw.,,,,,,,,textbook
YBM,Park,Common English 2,4,Check What You Learned,Comprehension,K2,JP_C2_L4_CL_CP_01,Dialogue,6,G," Right! Items such as the Foldscope and the LifeStraw are cheap and sustainable, as well as easy to use. So these products fall into a category of technology called appropriate technology.",,,,,,,,textbook
