speaker,script,position1,function1,position2,function2,match,agreement
,and the meeting schedule was painted on the wall and everything,,,,,,
,and it's right there by this most sacred site,,,,,,
*ALIC:,Did you go to that meeting Sean,,,,,,
*BERN:,That's  mazing,,,,,,
*SEAN:,I've never been there,,,,,,
*FRAN:,Isn't that wonderful,,,,,,
*ALIC:,Oh you weren't,,,,,,
,Oh,,,,,,
*SEAN:,No,,,,,,
*FRAN:,It was great,,,,,,
*BERN:,That is,,,,,,
*SEAN:,I've never been to Merida,,,,,,
*FRAN:,Yeah,,,,,,
*BERN:,Cause they have a lot,,,,,,
*FRAN:,Right there by this sacred site,,,,,,
*ALIC:,I thought you were,,,,,,
*BERN:,We were in Mexico City,,,,,,
*SEAN:,No,,,,,,
*ALIC:,Really,,,,,,
*BERN:,and it was hard to scrape up a meeting,,,,,,
*BERN:,It was mostly Americans,,,,,,
,that work for the,,,,,,
*SEAN:,Embassy,,,,,,
*BERN:,CIA or,,,,,,
,Was,,,,,,
*BERN:,We were,,,,,,
*SEAN:,Well no,,,,,,
*SEAN:,They,,,,,,
*SEAN:,In Mexico City,,,,,,
,there was always a Mexican meeting going on,,,,,,
,same time as an American speak English speaking,,,,,,
*SEAN:,English speaking was upstairs,,,,,,
*BERN:,But it's harder for them to be alcoholic,TI,T4,TI,T1,UNMATCH,T4
*SEAN:,and,,,,,,
,Spanish people were downstairs,,,,,,
*FRAN:,Why,,,,,,
,they can't find booze ,,,,,,
*FRAN:,I mean what's the problem,,,,,,
*FRAN:,,,,,,,
*SEAN:,No there,,,,,,
*FRAN:,,,,,,,
*SEAN:,there was always,,,,,,
*BERN:,No,,,,,,
,it's th harder for th,,,,,,
*BERN:,Uh supposedly it's harder for them,,,,,,
,It's,,,,,,
*BERN:,It's so like hard i,,,,,,
*FRAN:,To,,,,,,
*BERN:,It's against their machismo to,,,,,,
*FRAN:,Oh of course,,,,,,
*BERN:,Machismo to be,,,,,,
*ALIC:,Y you know,,,,,,
,at at gay AA meetings,,,,,,
,do they have signers,,,,,,
*SEAN:,Yes,,,,,,
*BERN:,Sometimes,,,,,,
*FRAN:,They are in New York now,,,,,,
*FRAN:,More and more,,,,,,
*SEAN:,Yes,,,,,,
*BERN:,Yeah they do this a lot,,,,,,
*BERN:,,,,,,,
,,,,,,,
*ALIC:,,,,,,,
*FRAN:,,,,,,,
,That's a sign,,,,,,
*ALIC:,Yeah,,,,,,
*BERN:,It certainly is ,,,,,,
*FRAN:,,,,,,,
*ALIC:,,,,,,,
*BERN:,,,,,,,
*FRAN:,,,,,,,
*X:,Yes,,,,,,
*SEAN:,About a year ago we had a lot,,,,,,
*SEAN:,And they sort of all,,,,,,
*BERN:,Went to different meetings,,,,,,
*SEAN:,disappeared,,,,,,
*SEAN:,It's a har to,,,,,,
*SEAN:,Oh I think it would be hard,,,,,,
*ALIC:,What,,,,,,
,signing,,,,,,
*FRAN:,Well there are a few,,,,,,
,and there's a,,,,,,
*SEAN:,Signing,,,,,,
*FRAN:,There are a couple of deaf meetings,,,,,,
*ALIC:,always at gay things,,,,,,
*FRAN:,in New York now,,,,,,
*ALIC:,Every gay thing I've ever been to,,,,,,
,there was a signer,,,,,,
*SEAN:,Signer,,,,,,
*ALIC:,Yeah,,,,,,
*SEAN:,Hosts,,,,,,
*ALIC:,not at SLICK,,,,,,
*FRAN:,They're listed in the book as,,,,,,
,you know,,,,,,
,always,,,,,,
,a signer is always at this meeting,,,,,,
*FRAN:,And,,,,,,
*BERN:,I forgot,,,,,,
,do y,,,,,,
*BERN:,Yeah,,,,,,
*BERN:,That's right,,,,,,
*BERN:,Of course,,,,,,
,you go to meeting,,,,,,
*FRAN:,Oh sure,,,,,,
*BERN:,Yeah,,,,,,
*BERN:,You have for a while,,,,,,
*FRAN:,Yeah,,,,,,
,I'm sober for twelve years,,,,,,
*BERN:,Do you,,,,,,
*BERN:,Does she know your sponsor,,,,,,
*SEAN:,Same as Rick,,,,,,
,same as me,,,,,,
*FRAN:,Beg your pardon,,,,,,
*SEAN:,Same as me,,,,,,
*SEAN:,Lynne Bissell,,,,,,
*BERN:,Do you know Lynne Bissell,,,,,,
*SEAN:,That's my sponsor in New York,,,,,,
*FRAN:,No,,,,,,
*FRAN:,I don't know her,,,,,,
*SEAN:,She's an actress,,,,,,
,Woody Allen movies,,,,,,
,Older woman,,,,,,
,about seventy two,,,,,,
*FRAN:,I may know her,,,,,,
,and not know her,,,,,,
*SEAN:,You'd re,,,,,,
*SEAN:,you might know her,,,,,,
*FRAN:,Yeah,,,,,,
*SEAN:,Maybe not,,,,,,
*BERN:,Lynne,,,,,,
*FRAN:,I mean,,,,,,
,I don't know where she goes to meetings,,,,,,
*SEAN:,New York's a big place,,,,,,
*FRAN:,Yeah,,,,,,
,Because you've got a thousand meetings a week,,,,,,
*SEAN:,Upper East Side,,,,,,
*ENV:,,,,,,,
*FRAN:,Oh no,,,,,,
,I don't go uptown so much,,,,,,
*FRAN:,I'm generally mostly in the Village,,,,,,
*SEAN:,But she comes downtown,TI,T2,TI,T2,MATCH,T2
*BERN:,You stay in the Village,,,,,,
*FRAN:,Yeah,,,,,,
*BERN:,,,,,,,
*FRAN:,well it's convenient,,,,,,
,And it's,,,,,,
*FRAN:,So ,,,,,,
,If I go off for t some dinner party uptown or something,,,,,,
,I might go to a meeting uptown,,,,,,
,but mostly I'm downtown,UI,T1,UI,T1,MATCH,T1
*FRAN:,So,,,,,,
*ALIC:,New York,,,,,,
*ALIC:,Oh wow,,,,,,
*ALIC:,Greenwich Village,,,,,,
*FRAN:,Yes,,,,,,
*BERN:,Our New York connection,,,,,,
,we can all like remember through y Fran,,,,,,
*ALIC:,Oh,,,,,,
*FRAN:,,,,,,,
,Well,,,,,,
,the neighborhood's probably the same,,,,,,
*FRAN:,since it's a historic district,,,,,,
*ENV:,,,,,,,
*FRAN:,and they won't let em tear anything down,,,,,,
*X:,,,,,,,
*FRAN:,You could find your way around,,,,,,
,except that,,,,,,
*SEAN:,Your,,,,,,
*FRAN:,,,,,,,
*SEAN:,Your building's new,,,,,,
*SEAN:,Isn't it,,,,,,
*FRAN:,No,,,,,,
*FRAN:,My building's old,,,,,,
*FRAN:,I don't know when my building was built,,,,,,
*SEAN:,Fifties,,,,,,
*FRAN:,Nineteen ten,,,,,,
*FRAN:,No,,,,,,
*ALIC:,Nineteen ten,,,,,,
*SEAN:,Oh,,,,,,
,wow,,,,,,
*SEAN:,No I'm,,,,,,
,I'm thinking of a different building in,,,,,,
*FRAN:,Nineteen twenty,,,,,,
*BERN:,So is it a big a partment,,,,,,
*SEAN:,She's just moving into a new apartment,,,,,,
*SEAN:,She and her husband,,,,,,
*FRAN:,About a hundred and ninety apartments,,,,,,
*FRAN:,Seventeen stories,,,,,,
*BERN:,I mean i,,,,,,
*BERN:,Are they big,,,,,,
,like rooms,,,,,,
,is it big,,,,,,
*FRAN:,Yeah,,,,,,
*FRAN:,There are,,,,,,
,We're in,,,,,,
*ENV:,,,,,,,
*FRAN:,the,,,,,,
*FRAN:,Up in the penthouse,,,,,,
*FRAN:,There are some larger apartments,,,,,,
*ENV:,,,,,,,
*FRAN:,because people have bought neighboring apartments,,,,,,
,and expanded and mixed them,,,,,,
*FRAN:,You know,,,,,,
,but,UI,T1,UI,T1,MATCH,T1
,they're mostly,,,,,,
,well there're some studios,,,,,,
,and some one bedrooms,,,,,,
,and two bedrooms,,,,,,
*SEAN:,And has it always been an apartment house,,,,,,
*FRAN:,Yeah,,,,,,
*ENV:,,,,,,,
*ALIC:,What,,,,,,
*ALIC:,What is the real e estate market doing,,,,,,
*ALIC:,Is it down now,,,,,,
*FRAN:,Well,,,,,,
,it's down in general,,,,,,
*ALIC:,In New York,,,,,,
*FRAN:,But certain areas,TI,T1,TI,T1,MATCH,T1
,yeah,,,,,,
*FRAN:,Certain areas sort of held their val ue,,,,,,
*ENV:,,,,,,,
,,,,,,,
*FRAN:,And what happened would be,,,,,,
,rather than have it,,,,,,
,things kinda crashing,,,,,,
*FRAN:,S a,,,,,,
*FRAN:,W,,,,,,
*FRAN:,uh It would just,,,,,,
*FRAN:,uh Things would be slow to sell,,,,,,
*FRAN:,But,UI,T4,UI,T4,MATCH,T4
,they would ho,,,,,,
*FRAN:,The Village is one of the few areas that held its value,,,,,,
*FRAN:,Um,,,,,,
,but,UI,T4,UI,T4,MATCH,T4
,certain things are a drug on the market,,,,,,
*ENV:,,,,,,,
*FRAN:,If you have a studio apartment,,,,,,
,you're stuck with it,,,,,,
*SEAN:,,,,,,,
*ALIC:,For the rest of your life,,,,,,
*ALIC:,Like herpes,,,,,,
*FRAN:,Certainly for the next ten years,,,,,,
*FRAN:,And,,,,,,
,and,,,,,,
*SEAN:,,,,,,,
*FRAN:,if you have a one bedroom,,,,,,
,it has to have something kinda going for it,,,,,,
*FRAN:,Or you're gonna be sorta stuck,,,,,,
*FRAN:,You could be stuck with it,,,,,,
*FRAN:,Um,,,,,,
,two bedrooms and up are,,,,,,
,are f,,,,,,
*FRAN:,easy to se,,,,,,
,easier to sell,,,,,,
*ALIC:,Cause Beth,,,,,,
*ALIC:,You know,,,,,,
,my friend,,,,,,
*SEAN:,Eddie's still in New York or some other state,,,,,,
*ALIC:,she just sold one,,,,,,
,at a fifty thousand dollar loss,,,,,,
*ALIC:,From four years ago,,,,,,
*BERN:,,,,,,,
*ALIC:,That she bought,,,,,,
*FRAN:,Yeah,,,,,,
*FRAN:,Well we,,,,,,
*ALIC:,On Sutton Place,,,,,,
*FRAN:,Uh,,,,,,
*ALIC:,Where's Sutton Place,,,,,,
*FRAN:,Yeah,,,,,,
,Sutton Place is up on the East Side,,,,,,
*SEAN:,E,,,,,,
*FRAN:,now see the Upper East Side took one of the,,,,,,
*SEAN:,East Side isn't it,,,,,,
*BERN:,Real nice Sutton Place,,,,,,
*SEAN:,It's nice,,,,,,
*FRAN:,One of the hardest hits for dropped values,,,,,,
*BERN:,Because it had soared so high,,,,,,
*FRAN:,Th They,,,,,,
*FRAN:,Two things,,,,,,
*FRAN:,They had soared really high,,,,,,
*BERN:,That ch,,,,,,
*FRAN:,And,,,,,,
,there was an awful lot,,,,,,
*FRAN:,Because they soared so high,,,,,,
,that area had less zoning,,,,,,
,uh,,,,,,
*ALIC:,Restrictions,,,,,,
*FRAN:,restrictions,,,,,,
*FRAN:,And they w,,,,,,
*FRAN:,There was uh,,,,,,
*FRAN:,There was a lotta building in the area,,,,,,
*FRAN:,And so,,,,,,
,between those two things,,,,,,
,that market was,,,,,,
*BERN:,Lotta new buildings,,,,,,
*FRAN:,Yeah,,,,,,
*FRAN:,And the new buildings are,,,,,,
,I don't like the new buildings,,,,,,
*ALIC:,Do you like living in New York,,,,,,
*FRAN:,Yeah,,,,,,
*FRAN:,I love it,,,,,,
*FRAN:,We traveled all over,,,,,,
*FRAN:,We looked around,,,,,,
*FRAN:,We thought,,,,,,
,my husband and I stayed out on the road,,,,,,
,for two years,,,,,,
*FRAN:,And we went all over the United States,,,,,,
,and we d,,,,,,
,we didn't find any place we liked better,,,,,,
*ALIC:,So you went from New Orleans to New York,,,,,,
*FRAN:,Yeah,,,,,,
*FRAN:,Oh that I did years ago,,,,,,
*FRAN:,That I did,,,,,,
*ALIC:,But it's the new,TI,T4,TI,T4,MATCH,T4
*ALIC:,That part,,,,,,
*FRAN:,God knows,,,,,,
,s nineteen si sixty something,,,,,,
*FRAN:,Sixty three,,,,,,
*FRAN:,Thirty years ago,,,,,,
*ALIC:,So you've lived in New York all this time,,,,,,
*FRAN:,Mhm,,,,,,
*FRAN:,Thirty years,,,,,,
*FRAN:,Except,,,,,,
,I did take five years off,,,,,,
*BERN:,,,,,,,
*ALIC:,Thirty years in New York ,,,,,,
*BERN:,,,,,,,
*FRAN:,Yeah,,,,,,
*ALIC:,Wow,,,,,,
*FRAN:,I did take five years off,,,,,,
*FRAN:,I went to uh,,,,,,
,Florida,,,,,,
,which was a terrible mistake,,,,,,
*FRAN:,We needed a vacation,,,,,,
,and we accidentally moved instead,,,,,,
*ALIC:,Oh,,,,,,
*FRAN:,And then,,,,,,
,we realized that,,,,,,
,Well ,,,,,,
,The first year we were there,,,,,,
,we visited New York six times,,,,,,
,and we looked at each other and said,,,,,,
*BERN:,,,,,,,
*FRAN:,God,,,,,,
,we certainly do go back up there a lot,,,,,,
,what do you think that's about,,,,,,
*FRAN:,You know,,,,,,
,and we were just getting increasingly bored down there and,,,,,,
,you know,,,,,,
,you get occupied fixing up a house,,,,,,
,and that's kinda fun,,,,,,
,and then,,,,,,
*ALIC:,Where in Florida were you,,,,,,
*FRAN:,On the Gulf Coast,,,,,,
,Fort Myers Beach,,,,,,
*FRAN:,We had a nice house,,,,,,
,right on the sea,,,,,,
*SEAN:,In,,,,,,
*SEAN:,Yeah,,,,,,
*FRAN:,Right on the sea,,,,,,
*SEAN:,I saw pictures,,,,,,
*FRAN:,It was beautiful,,,,,,
*FRAN:,But the poor house,UI,T2,UI,T2,MATCH,T2
,was in fucking Fort Myers Beach,,,,,,
*ALIC:,curbs,,,,,,
*FRAN:,,,,,,,
*ALIC:,they have ramps on all the curbs for the wheelchairs,,,,,,
*FRAN:,Yes ,,,,,,
*ALIC:,,,,,,,
*FRAN:,Right,,,,,,
,We had to,,,,,,
,W i the building code,,,,,,
,you have to have a ramp ,,,,,,
,,,,,,,
*ALIC:,,,,,,,
*FRAN:,,,,,,,
,But anyway uh,UI,T4,UI,T4,MATCH,T4
*ALIC:,You know,,,,,,
,handicap bars on your bathroom,,,,,,
*ALIC:,In your bathroom,,,,,,
*FRAN:,That's right,,,,,,
,But uh,UI,T4,UI,T4,MATCH,T4
*ALIC:,,,,,,,
*FRAN:,But,UI,T4,UI,T4,MATCH,T4
,we didn't like it,,,,,,
*FRAN:,At all,,,,,,
*FRAN:,And so,,,,,,
,that's when we said,,,,,,
,well let's not do anything precipitous,,,,,,
,like we did moving down here,,,,,,
,before we race back to New York,,,,,,
,let's look around a little bit,,,,,,
*FRAN:,So we hit the road,,,,,,
*FRAN:,And we stayed out for a couple years,,,,,,
*SEAN:,Two years they'd been looking,,,,,,
*FRAN:,looking all over,,,,,,
*SEAN:,for other places,,,,,,
*ALIC:,Looking round,,,,,,
,Really,,,,,,
*ALIC:,And,,,,,,
*FRAN:,Unhunh,,,,,,
*FRAN:,Round the US,,,,,,
*ALIC:,Wow,,,,,,
*FRAN:,And we,,,,,,
,kept finding these nice places,,,,,,
*ENV:,,,,,,,
*FRAN:,And we'd say,,,,,,
,isn't this place nice,,,,,,
*FRAN:,And,,,,,,
,Larry would say,,,,,,
,yes,,,,,,
,it's lovely,,,,,,
*FRAN:,Look at these beautiful homes,,,,,,
*FRAN:,Isn't that nice,,,,,,
*FRAN:,Yes,,,,,,
*FRAN:,Isn't that nice,,,,,,
*FRAN:,Isn't that nice,,,,,,
*FRAN:,Yeah,,,,,,
,but it's not New York,UI,T1,UI,T1,MATCH,T1
*BERN:,It's,,,,,,
*FRAN:,,,,,,,
*ALIC:,You w,,,,,,
*ALIC:,Wow,,,,,,
*FRAN:,And so we'd drive on,,,,,,
*FRAN:,We found lots of places that we like to spend,,,,,,
*BERN:,Oh,,,,,,
,if New York's under your skin,,,,,,
,watch out,,,,,,
*FRAN:,uh Yeah,,,,,,
,it's like a drug,,,,,,
*BERN:,You can't get out,,,,,,
*BERN:,It,,,,,,
*BERN:,It is,,,,,,
*FRAN:,You're finished,,,,,,
*BERN:,It is a drug,,,,,,
*FRAN:,That's it,,,,,,
*FRAN:,You're consigned,,,,,,
,the rest of your life,,,,,,
*ALIC:,Do they have New York AA,,,,,,
*FRAN:,to ludicrous rents,,,,,,
*ALIC:,You know,,,,,,
,,,,,,,
,or maybe they've been to New York,,,,,,
*BERN:,Well,,,,,,
*ALIC:,,,,,,,
*BERN:,they do,,,,,,
*ALIC:,,,,,,,
*BERN:,Don't they,,,,,,
*BERN:,They have their own ver,,,,,,
*BERN:,They,,,,,,
*ALIC:,Get me outa New York,,,,,,
*BERN:,They do,,,,,,
*ALIC:,Got gotta get outa this place,,,,,,
*FRAN:,We have so,,,,,,
*FRAN:,We,,,,,,
*FRAN:,What,,,,,,
*ALIC:,I'm a New York a holic,,,,,,
*FRAN:,Weren't we saying ,,,,,,
*BERN:,No she's s,,,,,,
*BERN:,She's asking if they have,,,,,,
,they should have an addiction to New York,,,,,,
*SEAN:,Or,,,,,,
*FRAN:,Oh,,,,,,
,New Yorkers Anonymous,,,,,,
*SEAN:,Or if they have like a,,,,,,
,special kind of like,,,,,,
,yeah,,,,,,
*FRAN:,Yeah,,,,,,
*ALIC:,Didn't matter,,,,,,
*BERN:,But they do have a,TI,T4, TI,T4,MATCH,T4
*SEAN:,But in fact,TI,I1,TI ,I1,MATCH,I1
*BERN:,they do have an AA,,,,,,
*SEAN:,AA is dif,,,,,,
*SEAN:,completely different in New York City,,,,,,
*BERN:,which is,,,,,,
,different,,,,,,
*SEAN:,than it is anywhere else in the world,,,,,,
*BERN:,That's right,,,,,,
*FRAN:,Well the Village is,,,,,,
*BERN:,Don't you think,,,,,,
*SEAN:,Much more exciting,,,,,,
*FRAN:,Yes,,,,,,
,it's true,,,,,,
*SEAN:,better speak,,,,,,
*ALIC:,Really,,,,,,
*FRAN:,Well,,,,,,
,the thing that,,,,,,
*SEAN:,Oh the best speakers in the world ,,,,,,
*BERN:,You know,,,,,,
,you know what the saying in AA is,,,,,,
*SEAN:,Because you have all those famous people,,,,,,
*BERN:,If you can,,,,,,
,or in New York,,,,,,
,we we've always heard that the saying is,,,,,,
,if you can stay,,,,,,
*ENV:,,,,,,,
*BERN:,New Yorkers say,,,,,,
,if you can stay sober in AA,,,,,,
,you can stay sober anywhere,,,,,,
*ENV:,,,,,,,
*FRAN:,It's true ,,,,,,
*BERN:,,,,,,,
*FRAN:,,,,,,,
,And we even say that about certain meetings,,,,,,
*ENV:,,,,,,,
,,,,,,,
*FRAN:,If you can stay sober at,,,,,,
*SEAN:,Plus really smart people,,,,,,
*BERN:,Jessa,,,,,,
*BERN:,Calm down,,,,,,
*SEAN:,You know,,,,,,
*BERN:,Quit that crying,,,,,,
*FRAN:,Well New Yorkers are extremely candid,,,,,,
*F+A660:B682RAN:,And,,,,,,
,also,,,,,,
,very,,,,,,
,emotionally accessible,,,,,,
*FRAN:,Which is not the reputation we have outside,,,,,,
*FRAN:,Of New York,,,,,,
*FRAN:,But,UI,T4,UI,T1,UNMATCH,T4
,you know,,,,,,
*FRAN:,I mean,,,,,,
,if you ask a cab driver,,,,,,
,if he speaks English,,,,,,
*FRAN:,Okay,,,,,,
,let's assume you got one who speaks English,,,,,,
*FRAN:,And he's sorta been a little bit acculturated,,,,,,
*FRAN:,you know,,,,,,
*FRAN:,But if you g,UI,T4,UI,T4,MATCH,T4
*FRAN:,Not not the Pakistanis fresh off the,,,,,,
,off the boat,,,,,,
*ALIC:,Yeah,,,,,,
*FRAN:,or any of that,,,,,,
*FRAN:,You know,,,,,,
,but you get your basic New York cab driver,UI,T4,UI,T3,UNMATCH,T3
*SEAN:,They talk,,,,,,
*FRAN:,and you,,,,,,
,You say,,,,,,
,you know,,,,,,
,how's it going,,,,,,
*FRAN:,He'll tell you,,,,,,
*SEAN:,Yep he,,,,,,
*SEAN:,Unhunh,,,,,,
*FRAN:,You know,,,,,,
*FRAN:,I mean,,,,,,
,I had one guy,,,,,,
,he talked to me the whole time I was dr,,,,,,
,about this new diet he was on,,,,,,
,and,,,,,,
,he ate apples,,,,,,
,and his wife was really happy,,,,,,
,and,,,,,,
,and their sex life had improved,,,,,,
,and,,,,,,
,and this is a guy like seventy years old,,,,,,
,or something,,,,,,
,he'd been driving a cab for forty years,,,,,,
,and proud of it,,,,,,
,and,,,,,,
,his kids went through this school and that s,,,,,,
,I mean,,,,,,
,very open,,,,,,
*FRAN:,And,,,,,,
,the,,,,,,
*FRAN:,But the r,UI,T4,UI,T4,MATCH,T4
*FRAN:,The new,,,,,,
*FRAN:,The b New Yorker is usually in a hurry,,,,,,
*FRAN:,And so they'll tell you anything,,,,,,
,they'll give you anything,,,,,,
*FRAN:,But just hurry up and tell em exactly what you want,UI,T4,UI,T4,MATCH,T4
*ALIC:,I I can never get a cab in New York,,,,,,
*ALIC:,Cause everybody takes it away from me,,,,,,
*BERN:,,,,,,,
*ALIC:,I mean when I am,,,,,,
,I'm just there for hours,,,,,,
,fo i wi,,,,,,
*BERN:,Y you gotta jump,,,,,,
*ALIC:,I ,,,,,,
*ALIC:,I can't do it,,,,,,
*BERN:,Yeah,,,,,,
*ALIC:,I go,,,,,,
*BERN:,It's a,,,,,,
*ALIC:,Okay,,,,,,
,I'm outa here,,,,,,
*ALIC:,If you don't wanna take me,,,,,,
,I won't go,,,,,,
*FRAN:,,,,,,,
*ALIC:,I just can't get a cab,,,,,,
*SEAN:,Well how do you get around,,,,,,
*ALIC:,I just wait for that hour,,,,,,
*ALIC:,Until,,,,,,
*SEAN:,Oh,,,,,,
*BERN:,,,,,,,
*ALIC:,you know,,,,,,
,it's like two A M,,,,,,
*ALIC:,Okay,,,,,,
,no one is here,,,,,,
,no competition,,,,,,
*ALIC:,I'm gonna get this cab,,,,,,
*BERN:,,,,,,,
*ALIC:,My kids said,,,,,,
*BERN:,Oh,,,,,,
*ALIC:,l come on,,,,,,
,you're,,,,,,
*ALIC:,l I said,,,,,,
,I'm doing the best I can,,,,,,
*SEAN:,,,,,,,
*BERN:,,,,,,,
*ALIC:,You know,,,,,,
,I really am,,,,,,
,this is me being as sertive,,,,,,
*BERN:,Jump out,,,,,,
*ALIC:,,,,,,,
*BERN:,and open the door fast,,,,,,
*FRAN:,Well there's also a lighting system,,,,,,
*BERN:,,,,,,,
*FRAN:,that if you don't understand it,,,,,,
*ALIC:,Ah,,,,,,
*FRAN:,it's confusing,,,,,,
*FRAN:,Because,,,,,,
,there's a light on the top,,,,,,
,that tells you if they're on duty or off duty,,,,,,
,and if they have a fare or not,,,,,,
*FRAN:,And you can wave forever,,,,,,
,and if they have fares,,,,,,
,they c they won't stop,,,,,,
*ALIC:,No,,,,,,
,they would always stop and,,,,,,
,I would get em,,,,,,
,it's just the person behind me ,,,,,,
,pushing me out of the way,,,,,,
*ALIC:,Getting into the cab,,,,,,
*FRAN:,Where were you,,,,,,
,in front of Saks or something ,,,,,,
*FRAN:,,,,,,,
*BERN:,,,,,,,
*ALIC:,Grand Central Station probably,,,,,,
*FRAN:,Oh Grand Central,,,,,,
*BERN:,,,,,,,
*ALIC:,,,,,,,
*FRAN:,Oh,,,,,,
,I'm guilty,,,,,,
*FRAN:,Grand Central,,,,,,
*FRAN:,I had a client in the office building next to Grand Central,,,,,,
*ALIC:,,,,,,,
*FRAN:,and I used to get in there and muscle people in front of me,,,,,,
*ALIC:,It's impossible,,,,,,
*FRAN:,Yeah really,,,,,,
*FRAN:,,,,,,,
*ALIC:,I've always,,,,,,
*FRAN:,Cause it's an,,,,,,
,a constant flow,,,,,,
*ALIC:,It's horrible,,,,,,
*BERN:,New Yorker's are,,,,,,
*BERN:,Yeah,,,,,,
*BERN:,It's,,,,,,
*BERN:,You're in a hurry,,,,,,
,you're in a rush,,,,,,
,and you learn to be a little assertive,,,,,,
*FRAN:,Yeah,,,,,,
*BERN:,Or is it aggressive,,,,,,
*SEAN:,Um,,,,,,
*FRAN:,Well it's,,,,,,
*SEAN:,who would like what to drink with dinner,,,,,,
*ALIC:,,,,,,,
,It's ballistic,,,,,,
*SEAN:,Here's the choices,,,,,,
*ALIC:,I have,,,,,,
