speaker,script,position1,function1,position2,function2,match,agreement
*GARY:,(.) That's neat ⌋ . ,,,,,,
*JULI:,(..) And head over . ,,,,,,
*JULI:,&=in They have real pretty trails . ,,,,,,
*GARY:,(..) We just drove around ,,,,,,
,I was (.) showing Matt ,,,,,,
,he's only here for one day . ,,,,,,
*JULI:,(..) Oh where's he from ? ,,,,,,
*GARY:,(.) &=tsk He's fr:om UC (.) Santa Barbara . ,,,,,,
*GARY:,⌈ Or: ⌉ Santa Barbara . ,,,,,,
*JULI:,⌊ Mm ⌋ . ,,,,,,
*GARY:,(..) University of California Santa Barba⌈2ra ⌉2 . ,,,,,,
*JULI:,                                         ⌊2 And ⌋2 (.) what's his name ? ,,,,,,
*GARY:,(..) Matt ? ,,,,,,
*JULI:,I thought you said Matt . ,,,,,,
*GARY:,Ye⌈ah ⌉ . ,,,,,,
*JULI:,  ⌊ O⌋kay . ,,,,,,
*GARY:,(..) Matt and uh ,,,,,,
,&=in ⌈ he he he's back ⌉ on the: airplane tomorrow morning . ,,,,,,
*JULI:,     ⌊ I'm bad on names ⌋ . ,,,,,,
*GARY:,so ⌈2 we were (.) driving ⌉2 around and . ,,,,,,
*JULI:,   ⌊2 Oh wow ⌋2 . ,,,,,,
*GARY:,&=in went to the Air Force Academy and ,,,,,,
,(.) ⌈ &=in &=lengthened (.) Took him over to Garden of the Gods . ,,,,,,
*JULI:,    ⌊ &=PAPER_CUTTING ⌋ . ,,,,,,
*GARY:,and it was hail⌉ing on us ,,,,,,
,and everything ,,,,,,
,(..) okay ,,,,,,
,thank you ,,,,,,
,(.) and . ,,,,,,
*JULI:,(.) &{l=WH Let's see &}l=WH &=ex . ,,,,,,
*GARY:,(.) &=in She gave me two of those . ,,,,,,
*JULI:,⌈ receipt ⌉ . ,,,,,,
*GARY:,⌊ I guess one for you ⌋ to keep ,,,,,,
,and one for (..) ⌈2 her to keep ⌉2 . ,,,,,,
*JULI:,                 ⌊2 Okay ⌋2 . ,,,,,,
*JULI:,(..) ʔuh Do you wanna just write on here ,,,,,,
,that I've paid that fifty ⌈ dollars now ⌉ . ,,,,,,
*GARY:,                          ⌊ Yes ⌋ . ,,,,,,
*GARY:,I sure do . ,,,,,,
*GARY:,(..) &=in (..) And fifty ⌈ bucks . ,,,,,,
*JULI:,                         ⌊ And then we're +... ,,,,,,
*GARY:,(.) paid by ⌉ . ,,,,,,
*JULI:,We'll (.) be done ⌋ with it . ,,,,,,
*JULI:,&=ex . ,,,,,,
*GARY:,(.) Uh: ,,,,,,
,(..) &=in paid b- +/. ,,,,,,
*GARY:,H:ow do I do this . ,,,,,,
*GARY:,&=in (.) And fifty dollars will be ⌈ paid ⌉ . ,,,,,,
*JULI:,                                   ⌊ Just put ⌋ down five twenty-four ninety-four . ,,,,,,
*JULI:,(..) And then write paid in full . ,,,,,,
*JULI:,Cause tod⌈ay's five ⌉ ⌈2 twenty-four ⌉2 . ,,,,,,
*GARY:,         ⌊ Right ⌋ . ,,,,,,
*GARY:,                      ⌊2 Right ⌋2 &=ex . ,,,,,,
*GARY:,(..) Twenty-four May ,,,,,,
,(..) &=in ninety-four ,,,,,,
,(..) &=in paid (..) in (..) full . ,,,,,,
*JULI:,(..) And then just initial it . ,,,,,,
*GARY:,(..) Yeah . ,,,,,,
*JULI:,(..) Okay . ,,,,,,
*GARY:,(..) Now I better do that on the other one too . ,,,,,,
*JULI:,(.) Okay &=ex . ,,,,,,
*JULI:,(..) &=laugh &=laugh &=laugh &=laugh &=laugh ,,,,,,
,&{l=@ I like your signature &}l=@ . ,,,,,,
*JULI:,(..) &=laugh &=laugh &=laugh &=in . ,,,,,,
*GARY:,&{l=WH &{l=X Yeah &}l=X &}l=WH . ,,,,,,
*JULI:,(..) Yeah she's even got a boyfriend . ,,,,,,
*JULI:,(.) The little Morgan Gelding . ,,,,,,
*JULI:,Has decided that's his mare herd . ,,,,,,
*JULI:,&=in He's been lonesome for ,,,,,,
,(.) the last year or so . ,,,,,,
*JULI:,Since he's +/. ,,,,,,
*JULI:,Well he's been lonesome for a long time . ,,,,,,
*JULI:,Cause he's been kept alone all his life ,,,,,,
,he was +/. ,,,,,,
*JULI:,wasn't gelded till he was eleven . ,,,,,,
*JULI:,&=in &=lengthened . ,,,,,,
*GARY:,So . ,,,,,,
*GARY:,(..) One of these (.) you get (.) to keep ,,,,,,
,how about that o⌈ne ⌉ . ,,,,,,
*JULI:,                ⌊ Mm-⌋kay . ,,,,,,
*GARY:,(..) &=in And uh ,,,,,,
,(..) I guess that's it hunh⌈: ⌉ ? ,,,,,,
*JULI:,                           ⌊ An⌋d then just have Ja⌈2mie call me ⌉2 . ,,,,,,
*GARY:,                                                   ⌊2 Now ,,,,,,
,yeah ⌋2 . ,,,,,,
*JULI:,and let me know ,,,,,,
,if she's ever had a brand inspection done on this pony ,,,,,,
,since she got to Colorado ,,,,,,
,because if there's a prior brand inspection on her ? ,,,,,,
*GARY:,(..) Righ⌈t ⌉ . ,,,,,,
*JULI:,         ⌊ Th⌋en it +/. ,,,,,,
*JULI:,There'll be a record of it . ,,,,,,
*GARY:,(..) Okay . ,,,,,,
*JULI:,(..) And then I would need it . ,,,,,,
*JULI:,or (.) n:eed (..) some way to look it up . ,,,,,,
*JULI:,(.) ⌈ It gets ki⌉nda (..) screwy . ,,,,,,
*GARY:,    ⌊ Okay ⌋ . ,,,,,,
*JULI:,(..) &=in (.) And they look like this &=ex . ,,,,,,
*JULI:,(..) In +/. ,,,,,,
*JULI:,In either pink or blue . ,,,,,,
*ENV:,(..) &=DOOR_CLOSING . ,,,,,,
*JULI:,Or ,,,,,,
,if you have a permanent one ,,,,,,
,(..) &{l=PAR Let's see if I've got a permanent one here with me . ,,,,,,
*JULI:,(..) &=in I bet not &}l=PAR . ,,,,,,
*GARY:,(..) &=tsk &=in What happened to Matt . ,,,,,,
*JULI:,(..) ʔuh I don't know ,,,,,,
,⌈ I think he wandered ⌉ off . ,,,,,,
*GARY:,⌊ He just left ⌋ . ,,,,,,
*GARY:,Okay . ,,,,,,
*JULI:,(..) &=laugh ⌈ &=laugh &=laugh ⌉ . ,,,,,,
*GARY:,             ⌊ &=in ⌋ Uh⌈2: . ,,,,,,
*JULI:,                        ⌊2 I sure like your daughter's ⌋2 new horse . ,,,,,,
*GARY:,Co:- ⌉2 +... ,,,,,,
*JULI:,&=in she's l:ovely . ,,,,,,
*GARY:,Oh uh Fan⌈cy ⌉ ? ,,,,,,
*JULI:,         ⌊ &{l=P She's ⌋ beautiful &}l=P . ,,,,,,
*JULI:,(.) Beautiful pony . ,,,,,,
*JULI:,(..) ⌈ Horse ⌉ . ,,,,,,
*GARY:,     ⌊ Yeah ⌋ . ,,,,,,
*JULI:,(..) Nah I don't have any ⌈2 permanents here ⌉2 . ,,,,,,
*GARY:,                          ⌊2 Okay it's the ⌋2 ,,,,,,
,Colorado Department of g- Agriculture . ,,,,,,
*JULI:,(.) &=in . ,,,,,,
*GARY:,(..) &{l=P Department of Agriculture . ,,,,,,
*GARY:,(..) I guess . ,,,,,,
*GARY:,(..) Okay . ,,,,,,
*JULI:,(..) &=in Ye⌈ah ⌉ . ,,,,,,
*GARY:,            ⌊ And what do you ⌋ call that . ,,,,,,
*GARY:,That's uh &}l=P . ,,,,,,
*JULI:,(..) Well it'⌈s ⌉ +... ,,,,,,
*GARY:,             ⌊ S⌋tate Board (.) of Stock Inspection . ,,,,,,
*JULI:,(..) You know it doesn't cost much to do it ,,,,,,
,but it is a law . ,UI,T4,UI,T4,MATCH,
*JULI:,(..) ⌈ and ⌉ . ,,,,,,
*KARE:,     ⌊ So ⌋ long . ,,,,,,
*JULI:,(..) You leaving ? ,,,,,,
*KARE:,M⌈:m ⌉ . ,,,,,,
*JULI:, ⌊ &{l=X pull your horse in h- &}l=X ⌋ +/. ,,,,,,
*JULI:,You: wouldn't believe how good he felt ,,,,,,
,when I took him out to grass this morning ? ,,,,,,
*JULI:,(..) He was (..) d:ancing on the end of the lead rope ,,,,,,
,⌈ And arch ⌉ +... ,,,,,,
*KARE:,⌊ Cause he knew where ⌋ he was go⌈2ing ⌉2 . ,,,,,,
*JULI:,                                 ⌊2 but ⌋2 he did it on the way up- (.) back too . ,TI,T4,TI,T4,MATCH,
*KARE:,(..) Oh . ,,,,,,
*JULI:,(.) He had his neck arched ,,,,,,
,and he's just like vibrating with energy . ,,,,,,
*KARE:,Oh good . ,,,,,,
*KARE:,Maybe I should go out and ride him now . ,,,,,,
*JULI:,I gu⌈ess you should ⌉ . ,,,,,,
*KARE:,    ⌊ Woo &=sniff ⌋ . ,,,,,,
*GARY:,&=laugh ⌈2 &=laugh &=laugh &=laugh &=laugh ⌉2 . ,,,,,,
*KARE:,        ⌊2 Bye . ,,,,,,
*KARE:,&=laugh &=laugh &=laugh ⌋2 ⌈3 &=laugh &=laugh &=laugh &=laugh ⌉3 . ,,,,,,
*JULI:,                           ⌊3 Bye: ⌋3 . ,,,,,,
*JULI:,Did you see my patio I'm putting in ? ,,,,,,
*JULI:,(..) Look how much is done now . ,,,,,,
*KARE:,Oh it's a patio ? ,,,,,,
*KARE:,I thought you were gonna grass it . ,,,,,,
*JULI:,(.) No: . ,,,,,,
*JULI:,⌈ I told you I'm gonna do a f⌉lagstone patio . ,,,,,,
*KARE:,⌊ You told me you were gonna grass it ⌋ . ,,,,,,
*JULI:,That's why I took out all these rocks over here . ,,,,,,
*JULI:,(..) That's ⌈ my roommate ⌉ Karen . ,,,,,,
*KARE:,            ⌊ O:h ⌋ . ,,,,,,
*GARY:,(..) Okay ? ,,,,,,
*GARY:,&=in        ⌊ Is ⌋ +... ,,,,,,
*KARE:,Well ⌈ I never know ⌉ what you're gonna do (.) from week to week . ,,,,,,
*JULI:,&=laugh &=ex ⌊ &=laugh &=laugh ⌋ . ,,,,,,
*GARY:,     ⌊ &=laugh &=laugh &=laugh ⌋ &=laugh &=laugh ,,,,,,
,&=in &=lengthened Okay ,,,,,,
,uh: ,,,,,,
,it's a law ,,,,,,
,(..) Who's supposed to do this . ,,,,,,
*GARY:,The buyer or the seller or ,,,,,,
,(..) or what . ,,,,,,
*GARY:,(..) I don't know . ,,,,,,
*JULI:,(..) I think the seller is supposed to . ,,,,,,
*GARY:,(..) &{l=P Oh &}l=P . ,,,,,,
*JULI:,&=in Usually the seller's supposed to pay for it ,,,,,,
,but I just ,UI,T1,UI,T1,MATCH,
,(..) I just do it and I pay for it ,,,,,,
,it doesn't really make that much difference to me ,,,,,,
,cause it's only like seven bucks . ,,,,,,
*JULI:,(..) To do it . ,,,,,,
*GARY:,(..) &{l=P Okay &}l=P . ,,,,,,
*JULI:,(.) But ,TI,T4,TI,T4,MATCH,
,if she ha- +/. ,,,,,,
*JULI:,ʔuh I mean it's not a big deal ,,,,,,
,(..) I just need to know if she had one done or didn't have one done . ,,,,,,
*GARY:,Okay . ,,,,,,
*JULI:,Cause it'll make a difference on what the brand inspect⌈tor doe⌉s . ,,,,,,
*GARY:,                                                       ⌊ Okay ⌋ . ,,,,,,
*JULI:,(..) If she did have one done ,,,,,,
,I need to know about when . ,,,,,,
*JULI:,If she can't find the copy ? ,,,,,,
*JULI:,(..) So they can look it up ? ,,,,,,
*GARY:,Okay . ,,,,,,
*JULI:,(..) And I doubt if they're (.) terribly computerized . ,,,,,,
*ENV:,(..) &=DOOR_CLOSING ⌈ &=lengthened ⌉ . ,,,,,,
*JULI:,                    ⌊ Cause I ⌋ had this happen once before ,,,,,,
,when I lost the brand inspection on a horse I'd bought ,,,,,,
,(.) but I remembered the month that I bought it in . ,UI,T4,UI,T4,MATCH,
*JULI:,And I happened to buy it out at the (.) auction . ,,,,,,
*JULI:,&=in ⌈ It was one of my ⌉ +... ,,,,,,
*KARE:,     ⌊ There's a mov⌋ie sitting on the desk out there . ,,,,,,
*JULI:,What is it . ,,,,,,
*KARE:,(..) The Substitute Wife . ,,,,,,
*JULI:,(.) &=in Oh: . ,,,,,,
*JULI:,(.) Was that any good ? ,,,,,,
*KARE:,It was very good . ,,,,,,
*JULI:,Oh good . ,,,,,,
*JULI:,You mean ⌈ Farrah Fawcett ⌉ has learned to act ? ,,,,,,
*KARE:,         ⌊ Didn't we see ⌋ +/. ,,,,,,
*KARE:,(..) Well it was funny . ,,,,,,
*JULI:,Oh ⌈ okay ⌉ . ,,,,,,
*KARE:,   ⌊ It was different ⌋ . ,,,,,,
*KARE:,I don't know how realistic it ⌈2 was . ,,,,,,
*JULI:,                              ⌊2 I just didn't think she looked ⌋2 the part of a plains wife . ,,,,,,
*KARE:,but it was different ⌉2 . ,TI,T1,TI,T1,MATCH,
*KARE:,(..) No . ,,,,,,
*JULI:,No . ,,,,,,
*GARY:,&=ex &=lengthened . ,,,,,,
*JULI:,(..) Too many teeth and hair ⌈ &=ex &=lengthened ⌉ . ,,,,,,
*KARE:,                             ⌊ Bye ⌋ . ,,,,,,
*KARE:,(.) ⌈2 &=DOOR_CLOSING ⌉2 . ,,,,,,
*GARY:,    ⌊2 &=laugh &=laugh &=laugh ⌋2 &=laugh &=laugh ,,,,,,
,&=in Well ,,,,,,
,(..) Th- +/. ,,,,,,
*GARY:,okay this is what you get ,,,,,,
,and ⌈ the guy ⌉ hands it to you . ,,,,,,
*JULI:,    ⌊ &{l=P Mhm &}l=P ⌋ ,,,,,,
,(..) Yeah . ,,,,,,
*GARY:,(..) Okay . ,,,,,,
*GARY:,(..) &{l=P I have no idea . ,,,,,,
*GARY:,So I'll have to ask ⌈ her &}l=P ⌉ . ,,,,,,
*JULI:,                    ⌊ And ⌋ s- +/. ,,,,,,
*JULI:,I'm the +/. ,,,,,,
*JULI:,(.) Okay I'm the agent . ,,,,,,
*JULI:,Let's see this is gonna go to the owner . ,,,,,,
*JULI:,So yeah . ,,,,,,
*JULI:,The owner would have the blue copy . ,,,,,,
*JULI:,(..) The a- I was the agent on this horse . ,,,,,,
*JULI:,(..) I'm not the owner . ,,,,,,
*GARY:,(..) So: . ,,,,,,
*JULI:,(..) ⌈ But course ⌉ . ,TI,T4,TI,I2?,UNMATCH,T4
*GARY:,     ⌊ The: ⌋ +... ,,,,,,
*JULI:,we got him last July . ,,,,,,
*JULI:,&{l=@ So it's been almost a year &}l=@ ,,,,,,
,I just +/. ,,,,,,
*JULI:,&=in I just (.) can't bear to bring the brand inspector out for just one horse ,,,,,,
,because it's only like seven bucks ,,,,,,
,now this one was seventeen ,,,,,,
,because ,,,,,,
,&=in he's getting a permanent brand inspection . ,,,,,,
*JULI:,(..) Which you can keep ,,,,,,
,(..) for the ,,,,,,
,for as long as you own the horse . ,,,,,,
*GARY:,(..) What is ⌈ a brand ⌉ inspection . ,,,,,,
*JULI:,             ⌊ But it's ⌋ +/. ,TI,T4,TI,I2?,UNMATCH,I2
*JULI:,What it is is your &{l=MRC only (.) legal (.) bill of sale &}l=MRC ,,,,,,
,for (.) horse or cattle ,,,,,,
,(.) in the State of Colo⌈rado ⌉ . ,,,,,,
*GARY:,                        ⌊ Oh⌋: . ,,,,,,
*JULI:,(..) Regis⌈2tration ⌉2 +... ,,,,,,
*GARY:,          ⌊2 It's like re⌋2gistering a car . ,,,,,,
*JULI:,(..) Right . ,,,,,,
*JULI:,And ⌈ and ⌉ +... ,,,,,,
*GARY:,    ⌊ Or ⌋ or: uh ,,,,,,
,(..) not registering ,,,,,,
,but uh ,UM,T3,UM,T3,MATCH,
,&=in passing title . ,,,,,,
*JULI:,(.) ⌈ Mhm . ,,,,,,
*GARY:,    ⌊ To a car ⌋ . ,,,,,,
*JULI:,An⌉d ,,,,,,
,(.) see the thing is ,,,,,,
,what makes it good ,,,,,,
,ʔuh is if you don't have a legal (..) brand inspection ? ,,,,,,
*JULI:,(..) On a horse when you take him to the auction ,,,,,,
,you can't run him through the auction ,,,,,,
,they will impound the horse . ,,,,,,
*GARY:,⌈ Wow ⌉ . ,,,,,,
*JULI:,⌊ &=in ⌋ &=lengthened So ,,,,,,
,⌈2 if somebody goes and forg⌉2es . ,,,,,,
*GARY:,⌊2 &=WHISTLE ⌋2 . ,,,,,,
*JULI:,a little bill of sale that looks like this &=ex ,,,,,,
,(..) and steals a horse out of my pasture ,,,,,,
,and takes it to the auction ,,,,,,
,they're gonna impound the horse and check it out . ,,,,,,
*JULI:,(..) Look for identifying marks . ,,,,,,
*JULI:,&=in (.) A:nd (.) not send that horse to the kil⌈lers ⌉ . ,,,,,,
*GARY:,                                                ⌊ Oh ⌋ okay . ,,,,,,
*GARY:,(.) Okay . ,,,,,,
*JULI:,That's why it's real im⌈portant ⌉ . ,,,,,,
*GARY:,                       ⌊ &=in ⌋ &=lengthened (.) Yeah . ,,,,,,
*GARY:,(.) ʔuh How do you uh ,,,,,,
,(.) I guess you just look it up in the phone book ,,,,,,
,for uh . ,,,,,,
*JULI:,(..) Well you u⌈sually you can- you can +... ,,,,,,
*GARY:,               ⌊ Colorado State Department ⌋ of Agriculture or some⌈2thing ⌉2 . ,,,,,,
*JULI:,&=in ⌉ ,,,,,,
,                                                                 ⌊2 I c⌋2an never find it in the phone book . ,,,,,,
*JULI:,Call the vet . ,,,,,,
*JULI:,All the vets know the num⌈ber . ,,,,,,
*GARY:,                         ⌊ Vet . ,,,,,,
*JULI:,of the ⌉ (.) brand inspector . ,,,,,,
*GARY:,okay ⌋ . ,,,,,,
*JULI:,And I have it on file too . ,,,,,,
*JULI:,His name is um ,,,,,,
,(..) our our current brand inspector is a real cutie . ,,,,,,
*JULI:,Let's see . ,,,,,,
*JULI:,What's his name . ,,,,,,
*JULI:,(..) Bart Zuckerman . ,,,,,,
*JULI:,(..) Is ⌈ our current ⌉ brand inspector . ,,,,,,
*GARY:,        ⌊ Okay ⌋ . ,,,,,,
*JULI:,And he lives right here in Colorado Springs . ,,,,,,
*GARY:,Oh yeah ? ,,,,,,
*GARY:,  ⌈ Hey ⌉ . ,,,,,,
*JULI:,It⌊'s a Five Five ⌋ Five number . ,,,,,,
*GARY:,(..) Okay . ,,,,,,
*JULI:,I had a hard time getting hold of him this time ,,,,,,
,(.) his ʔuh answering machine wasn't working . ,,,,,,
*GARY:,(..) Okay . ,,,,,,
*JULI:,(..) But . ,TI,I2,TI,T4,UNMATCH,I2
*GARY:,⌈ &=in ⌉ . ,,,,,,
*JULI:,⌊ &=in he ⌋ is a cutie . ,,,,,,
*JULI:,I mean he (.) he's +/. ,,,,,,
*JULI:,He models for Shepler's magazine . ,,,,,,
*JULI:,(..) Really nice looking young fellow . ,,,,,,
*JULI:,(..) I don't know . ,,,,,,
*JULI:,He's got- +/. ,,,,,,
*JULI:,I think he's got a couple kids . ,,,,,,
*JULI:,(..) &=in But ,UI,T4,UI,T4,MATCH,
,very nice . ,,,,,,
*JULI:,(..) Polite cowboy type . ,,,,,,
*JULI:,(..) &=tsk ,,,,,,
,(..) And on our ⌈ last +... ,,,,,,
*GARY:,                ⌊ Alright ⌋ . ,,,,,,
*JULI:,I ⌉ just get used to a brand inspector and they switch em on us . ,,,,,,
*GARY:,&=laugh &=laugh &=laugh . ,,,,,,
*JULI:,Donald Bradbury was our brand inspector for years . ,,,,,,
*JULI:,A:nd um ,,,,,,
,(..) I mean ,,,,,,
,he knew me real well because I ,,,,,,
,(..) I'd go through seven eight horses a year out ⌈ here and ⌉ . ,,,,,,
*GARY:,                                                  ⌊ Wow ⌋ . ,,,,,,
*JULI:,&=in (.) ⌈2 Well . ,,,,,,
*GARY:,         ⌊2 What do you what do you ⌋2 do here . ,,,,,,
*JULI:,cause I'm an ⌉2 +/. ,,,,,,
*JULI:,I'm an agent . ,,,,,,
*JULI:,(.) I teach riding lessons . ,,,,,,
*GARY:,⌈ Oh: ⌉ . ,,,,,,
*JULI:,⌊ and I buy and sell ,,,,,,
,and ⌋ I'm an ⌈2 agent . ,,,,,,
*GARY:,             ⌊2 Oh: ⌋2 . ,,,,,,
*JULI:,I'll +/. ,,,,,,
*JULI:,I'll ⌉2 find horses for people ,,,,,,
,⌈3 that ⌉3 +... ,,,,,,
*GARY:,⌊3 O⌋3:kay . ,,,,,,
*JULI:,(.) And (.) so ⌈4 I act as an agent ⌉4 . ,,,,,,
*GARY:,               ⌊4 So you (.) match a ⌋4 a a customer ⌈5 with a horse ⌉5 . ,,,,,,
*JULI:,                                                     ⌊5 Yeah it's sorta like a ⌋5 dating service . ,,,,,,
*JULI:,⌈6 It's wonder⌉6ful . ,,,,,,
*GARY:,⌊6 Yeah ⌋6 . ,,,,,,
*JULI:,It's really a ⌈7 lotta f⌉7un . ,,,,,,
*GARY:,              ⌊7 Yeah ⌋7 . ,,,,,,
*JULI:,⌈8 &=in Yeah ⌉8 . ,,,,,,
*GARY:,⌊8 &=in So they ⌋8 know that ,,,,,,
,(..) that you can do this ,,,,,,
,so they tell you ,,,,,,
,hey ,,,,,,
,I really need this kind of a ⌈ horse ⌉ . ,,,,,,
*JULI:,                             ⌊ Right ⌋ . ,,,,,,
